CellID, Experimenter, Species, Channel, CellType, Path, Status
1_1, RP, Rat, ch4, L5PC, \140213L5ISI_1 Folder, 0
1_2, RP, Rat, ch6, L5PC, \140213L5ISI_1 Folder, 1
1_3, RP, Rat, ch16, L5PC, \140213L5ISI_1 Folder, 1
1_4, RP, Rat, ch18, L5PC, \140213L5ISI_1 Folder, 1
2_1, RP, Rat, ch8, L5PC, \140213L5ISI_10 Folder, 0
3_1, RP, Rat, ch8, L5PC, \140213L5ISI_11 Folder, 0
4_1, RP, Rat, ch8, L5PC, \140213L5ISI_2 Folder, 0
5_1, RP, Rat, ch8, L5PC, \140213L5ISI_3 Folder, 0
6_1, RP, Rat, ch8, L5PC, \140213L5ISI_4 Folder, 0
7_1, RP, Rat, ch8, L5PC, \140213L5ISI_5 Folder, 0
8_1, RP, Rat, ch8, L5PC, \140213L5ISI_6 Folder, 1
9_1, RP, Rat, ch8, L5PC, \140213L5ISI_7 Folder, 0
10_1, RP, Rat, ch8, L5PC, \140213L5ISI_8 Folder, 0
11_1, RP, Rat, ch8, L5PC, \140213L5ISI_9 Folder, 1
12_1, RP, Rat, ch8, L5PC, \140214L5ISI_1 Folder, 0
13_1, RP, Rat, ch8, L5PC, \140214L5ISI_2 Folder, 0
14_1, RP, Rat, ch8, L5PC, \140214L5ISI_3 Folder, 0
15_1, RP, Rat, ch8, L5PC, \140214L5ISI_4 Folder, 0
16_1, RP, Rat, ch8, L5PC, \140214L5ISI_5 Folder, 0
17_1, RP, Rat, ch8, L5PC, \140214L5ISI_6 Folder, 0
18_1, RP, Rat, ch8, L5PC, \140214L5ISI_7 Folder, 0 
19_1, RP, Rat, ch8, L5PC, \140227L5ISI_1 Folder, 0 
20_1, RP, Rat, ch8, L5PC, \140227L5ISI_2 Folder, 1
21_1, RP, Rat, ch8, L5PC, \140227L5ISI_3 Folder, 0
22_1, RP, Rat, ch8, L5PC, \140227L5ISI_4 Folder, 0
23_1, RP, Rat, ch8, L5PC, \140227L5ISI_5 Folder, 0 
24_1, RP, Rat, ch8, L5PC, \140227L5ISI_6 Folder, 0  
25_1, RP, Rat, ch8, L5PC, \140227L5ISI_7 Folder, 0
26_1, RP, Rat, ch8, L5PC, \140228L5ISI_1 Folder, 0
27_1, RP, Rat, ch8, L5PC, \140228L5ISI_2 Folder, 0
28_1, OH, Rat, ch2, L5PC, \001_140227A01_OH\001_140227A01MRP13L5Py_OH, 1
29_1, OH, Rat, ch2, L5PC, \001_140227A02_OH\001_140227A02MRP13L5Py_OH, 0
30_1, OH, Rat, ch2, L5PC, \001_140227A04_OH\001_140227A04MRP13L5Py_OH, 1
31_1, OH, Rat, ch2, L5PC, \001_140227A05_OH\001_140227A05MRP13L5Py_OH, 1
32_1, OH, Rat, ch2, L5PC, \001_140227A06_OH\001_140227A06MRP13L5Py_OH, 0
33_1, OH, Rat, ch2, L5PC, \001_140227A07_OH\001_140227A07MRP13L5Py_OH, 0
34_1, OH, Rat, ch2, L5PC, \001_140227A08_OH\001_140227A08MRP13L5Py_OH, 0
35_1, OH, Rat, ch2, L5PC, \001_140227A10_OH\001_140227A10MRP13L5Py_OH, 0
36_1, OH, Rat, ch2, L5PC, \001_140227A11_OH\001_140227A11MRP13L5Py_OH, 0
37_1, OH, Rat, ch2, L5PC, \001_140227A12_OH\001_140227A12MRP13L5Py_OH, 1
38_1, OH, Rat, ch2, L5PC, \001_140227A13_OH\001_140227A13MRP13L5Py_OH, 0
39_1, OH, Rat, ch2, L5PC, \001_140227A14_OH\001_140227A14MRP13L5Py_OH, 1
40_1, OH, Rat, ch2, L5PC, \001_140227A15_OH\001_140227A15MRP13L5Py_OH, 1
41_1, OH, Rat, ch2, L5PC, \001_140227A16_OH\001_140227A16MRP13L5Py_OH, 1
42_1, OH, Rat, ch2, L5PC, \001_140228A01_OH\001_140228A01MRP14L5Py_OH, 0
43_1, OH, Rat, ch2, L5PC, \001_140228A02_OH\001_140228A02MRP14L5Py_OH, 1
44_1, OH, Rat, ch2, L5PC, \001_140228A08_OH\001_140228A08MRP14L5Py_OH, 0
45_1, OH, Rat, ch2, L5PC, \001_140228A09_OH\001_140228A09MRP14L5Py_OH, 0
46_1, OH, Rat, ch2, L5PC, \001_140228A10_OH\001_140228A10MRP14L5Py_OH, 0
47_1, OH, Rat, ch2, L5PC, \001_140228B02_OH\001_140228B02MRP14L5Py_OH, 1
48_1, OH, Rat, ch2, L5PC, \001_140228B03_OH\001_140228B03MRP14L5Py_OH, 0
49_1, OH, Rat, ch2, L5PC, \001_140228B04_OH\001_140228B04MRP14L5Py_OH, 0
50_1, OH, Rat, ch2, L5PC, \001_140228B05_OH\001_140228B05MRP14L5Py_OH, 0
51_1, OH, Rat, ch2, L5PC, \001_140228B06_OH\001_140228B06MRP14L5Py_OH, 0
52_1, OH, Rat, ch2, L5PC, \001_140228B07_OH\001_140228B07MRP14L5Py_OH, 0
53_1, OH, Mouse, ch2, L5FS, \001_140212A01_OH\001_140212A1MMP13L5FS_OH, 1
54_1, OH, Mouse, ch2, L5FS, \001_140212A02_OH\001_140212A2MMP13L5FS_OH, 1
55_1, OH, Mouse, ch2, L5FS, \001_140212A03_OH\001_140212A3MMP13L5FS_OH, 1
55_2, OH, Mouse, ch4, L5FS, \001_140212A03_OH\001_140212A3MMP13L5FS_OH, 1
