,Unnamed: 0,Group,CellName,Species,BrainArea,CellTypeGroup,protocol,IV_peak_m,IV_steady_m,repetition,trace_index,AP_index,AP_begin_voltage,AP_half_width,AP_amplitude,min_AHP_voltage,ISI_values
0,0,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,3,0,-29.402839477768616,1.6621202008606986,66.77419232737861,-46.23749852180375,35.80000000000814
1,1,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,4,0,-31.078699740229784,1.6621202008606986,66.77419232737861,-42.30625182390186,100.80000000002292
2,2,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,5,0,-31.14531733608627,1.6621202008606986,66.77419232737861,-40.58124870061869,66.4000000000151
3,3,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,6,0,-31.718596956172547,1.6621202008606986,66.77419232737861,-38.46874833106955,35.90000000000816
4,4,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,7,0,-32.44637252886599,1.6621202008606986,66.77419232737861,-37.7812497317791,28.600000000006503
5,5,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,8,0,-32.870131490110445,1.6621202008606986,66.77419232737861,-37.587501108646,24.90000000000566
6,6,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,9,0,-33.06718858707034,1.6621202008606986,66.77419232737861,-36.84375062584877,20.40000000000464
7,7,Mouse Amygdala PC AP index 0,aCell337_1,Mouse,Amygdala,PC,IDRest,0.2412665593288728,0.2162175000889169,0,10,0,-33.44595860441151,1.6621202008606986,66.77419232737861,-36.50625050067855,19.600000000004457
8,8,Rat Amygdala PC AP index 0,aCell185_1,Rat,Amygdala,PC,IDRest,0.0867658326482134,0.0654483610195457,0,3,0,-35.02980360753502,0.90121400114964,75.14855379230764,-40.31249880790034,615.1000000001397
9,9,Rat Amygdala PC AP index 0,aCell185_1,Rat,Amygdala,PC,IDRest,0.0867658326482134,0.0654483610195457,0,4,0,-35.12639974246901,0.8520392523209352,73.6451489198962,-40.46874865889512,26.00000000000591
10,10,Rat Amygdala PC AP index 0,aCell185_1,Rat,Amygdala,PC,IDRest,0.0867658326482134,0.0654483610195457,0,5,0,-36.83879541641564,0.8147236488824205,73.495044730953,-41.706249117849296,17.600000000004002
11,11,Rat Amygdala PC AP index 0,aCell185_1,Rat,Amygdala,PC,IDRest,0.0867658326482134,0.0654483610195457,0,6,0,-38.3185855230379,0.8052796178060362,74.61858532600337,-43.01249980926143,11.30000000000257
12,12,Rat Amygdala PC AP index 0,aCell185_1,Rat,Amygdala,PC,IDRest,0.0867658326482134,0.0654483610195457,0,7,0,-38.63556353647603,0.7939952901739957,73.59806491277546,-43.118748813866205,7.900000000001796
