Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 0, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 1, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 2, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 3, Sweep: 1
Error for Protocol: APWaveform, Cell: cell217_2, Repetition: 3, Sweep: 1
Error for Protocol: IDRest, Cell: cell37_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell30_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell28_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell20_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell11_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell39_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell41_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell31_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell43_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell40_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell39_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell20_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell37_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell31_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell97_2, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell97_2, Repetition: 3, Sweep: 2
Error for Protocol: IDRest, Cell: cell41_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell40_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell43_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell30_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell47_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell11_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell28_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell8_1, Repetition: 0, Sweep: 2
Error for Protocol: APWaveform, Cell: cell217_2, Repetition: 3, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 0, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 1, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 2, Sweep: 1
Error for Protocol: APWaveform, Cell: cell97_2, Repetition: 3, Sweep: 1
Error for Protocol: IDRest, Cell: cell30_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell39_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell37_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell41_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell20_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell43_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell28_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell31_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell47_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell97_2, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell97_2, Repetition: 3, Sweep: 2
Error for Protocol: IDRest, Cell: cell40_1, Repetition: 0, Sweep: 1
Error for Protocol: IDRest, Cell: cell8_1, Repetition: 0, Sweep: 2
Error for Protocol: IDRest, Cell: cell11_1, Repetition: 0, Sweep: 1
