protocol APWaveform, cell 309_1, repetition 0, sweep 1
protocol APWaveform, cell 324_1, repetition 0, sweep 1
protocol APWaveform, cell 339_1, repetition 0, sweep 1
protocol APWaveform, cell 321_1, repetition 0, sweep 2
protocol APWaveform, cell 310_1, repetition 0, sweep 1
protocol APWaveform, cell 326_1, repetition 0, sweep 1
protocol APWaveform, cell 189_1, repetition 0, sweep 2
protocol APWaveform, cell 186_1, repetition 0, sweep 2
protocol APWaveform, cell 188_2, repetition 0, sweep 2
protocol APWaveform, cell 183_2, repetition 0, sweep 2
protocol APWaveform, cell 181_1, repetition 0, sweep 2
protocol APWaveform, cell 239_1, repetition 0, sweep 2
protocol APWaveform, cell 347_1, repetition 0, sweep 1
protocol APWaveform, cell 113_1, repetition 0, sweep 2
protocol APWaveform, cell 127_1, repetition 0, sweep 1
protocol APWaveform, cell 116_1, repetition 0, sweep 1
protocol APWaveform, cell 129_1, repetition 0, sweep 1
protocol APWaveform, cell 128_1, repetition 0, sweep 1
protocol APWaveform, cell 109_1, repetition 0, sweep 2
protocol APWaveform, cell 125_1, repetition 0, sweep 1
protocol APWaveform, cell 206_1, repetition 0, sweep 1
protocol APWaveform, cell 198_1, repetition 0, sweep 2
protocol APWaveform, cell 126_3, repetition 0, sweep 1
protocol APWaveform, cell 227_1, repetition 0, sweep 2
protocol APWaveform, cell 228_1, repetition 0, sweep 2
protocol IDRest, cell 310_1, repetition 0, sweep 2
protocol IDRest, cell 339_1, repetition 0, sweep 2
protocol IDRest, cell 324_1, repetition 0, sweep 2
protocol IDRest, cell 309_1, repetition 0, sweep 2
protocol IDRest, cell 183_2, repetition 0, sweep 2
protocol IDRest, cell 194_1, repetition 0, sweep 4
protocol IDRest, cell 186_1, repetition 0, sweep 2
protocol IDRest, cell 188_2, repetition 0, sweep 2
protocol IDRest, cell 181_1, repetition 0, sweep 2
protocol IDRest, cell 370_1, repetition 0, sweep 1
protocol IDRest, cell 366_1, repetition 0, sweep 2
protocol IDRest, cell 239_1, repetition 0, sweep 2
protocol IDRest, cell 312_1, repetition 0, sweep 2
protocol IDRest, cell 347_1, repetition 0, sweep 2
protocol IDRest, cell 117_2, repetition 0, sweep 5
protocol IDRest, cell 128_1, repetition 0, sweep 3
protocol IDRest, cell 101_2, repetition 0, sweep 3
protocol IDRest, cell 113_1, repetition 0, sweep 2
protocol IDRest, cell 109_1, repetition 0, sweep 2
protocol IDRest, cell 129_1, repetition 0, sweep 3
protocol IDRest, cell 127_1, repetition 0, sweep 3
protocol IDRest, cell 206_1, repetition 0, sweep 3
protocol IDRest, cell 350_1, repetition 0, sweep 2
protocol IDRest, cell 198_1, repetition 0, sweep 2
protocol IDRest, cell 215_1, repetition 0, sweep 2
protocol IDRest, cell 227_1, repetition 0, sweep 2
protocol IDRest, cell 126_3, repetition 0, sweep 3
protocol IDRest, cell 233_1, repetition 0, sweep 2
protocol IDRest, cell 228_1, repetition 0, sweep 2
